,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_1 (0.01 - 0.5),0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_2 (0.01 - 0.6),0.5024,0.4947,X,0.5045,0.4349,0.5028,0.4949,0.4956,0.4021,0.4972,0.5018,0.5031,0.4818,0.5001
bot_3 (0.03 - 0.45),0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_4 (0.03 - 0.55),0.7618,0.7601,0.4288,0.7685,X,0.7635,0.7648,0.6066,0.2307,0.764,0.7625,0.7591,0.5564,0.7648
bot_5 (0.03 - 0.65),0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_6 (0.05 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_7 (0.05 - 0.55),0.7537,0.7424,0.3837,0.7464,0.3183,0.7546,0.7439,X,0.1734,0.7484,0.7482,0.7479,0.5531,0.7511
bot_8 (0.05 - 0.65),0.7466,0.7575,0.5139,0.7459,0.7079,0.7418,0.7528,0.7415,X,0.753,0.7499,0.7433,0.6989,0.7445
bot_9 (0.07 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
bot_10 (0.07 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0
bot_11 (0.07 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0
bot_12 (0.1 - 0.5),0.5549,0.5569,0.3309,0.5576,0.333,0.55,0.5595,0.3591,0.2067,0.5497,0.5521,0.5575,X,0.5563
bot_13 (0.1 - 0.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
