,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.192,0.1328,0.1875,0.1903,0.19,0.1611,0.1947,0.1937,0.1832,0.1884,0.1766,0.1651,0.1842
bot_1 (0.01 - 0.5),0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_2 (0.01 - 0.6),0.4972,0.5055,X,0.5012,0.4839,0.494,0.4686,0.5002,0.5001,0.5054,0.4935,0.4807,0.4694,0.5034
bot_3 (0.03 - 0.45),0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_4 (0.03 - 0.55),0.0041,0.0,0.0429,0.0,X,0.0204,0.0387,0.0,0.0,0.0,0.0,0.0639,0.0494,0.0037
bot_5 (0.03 - 0.65),0.1102,0.1663,0.0358,0.1701,0.1618,X,0.0738,0.1665,0.1628,0.1661,0.1651,0.0979,0.0753,0.113
bot_6 (0.05 - 0.45),0.4618,0.5044,0.273,0.504,0.4722,0.4956,X,0.5093,0.5023,0.4882,0.5007,0.4103,0.3436,0.4862
bot_7 (0.05 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0
bot_8 (0.05 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0
bot_9 (0.07 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
bot_10 (0.07 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0
bot_11 (0.07 - 0.65),0.3973,0.5081,0.2167,0.509,0.4704,0.5044,0.3342,0.5211,0.5018,0.5119,0.5129,X,0.2851,0.4215
bot_12 (0.1 - 0.5),0.4216,0.5024,0.2545,0.4995,0.4581,0.467,0.4382,0.5069,0.5033,0.4927,0.5024,0.4123,X,0.4503
bot_13 (0.1 - 0.6),0.1784,0.1985,0.0937,0.1971,0.2006,0.1964,0.1232,0.2032,0.2065,0.2001,0.2013,0.1414,0.1132,X
