,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.552,0.3033,0.3608,0.392,0.3743,0.4949,0.5523,0.5537,0.4732,0.5478,0.5468,0.5397,0.5456
bot_1 (0.01 - 0.5),0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_2 (0.01 - 0.6),0.6361,1.0,X,0.5277,0.6387,0.564,0.7871,1.0,0.9886,0.7468,1.0,1.0,1.0,1.0
bot_3 (0.03 - 0.45),0.4997,0.7482,0.4604,X,0.5159,0.4377,0.6807,0.7514,0.7369,0.5378,0.7463,0.7458,0.7447,0.7489
bot_4 (0.03 - 0.55),0.3058,0.4207,0.3162,0.382,X,0.3672,0.388,0.4079,0.418,0.4042,0.4217,0.4206,0.406,0.4221
bot_5 (0.03 - 0.65),0.5979,0.9998,0.436,0.5541,0.6029,X,0.8258,0.9999,0.9983,0.6955,0.9997,0.9996,0.9999,0.9996
bot_6 (0.05 - 0.45),0.1874,0.2555,0.1552,0.1548,0.1898,0.147,X,0.2612,0.2617,0.1621,0.2595,0.2679,0.2653,0.2679
bot_7 (0.05 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0
bot_8 (0.05 - 0.65),0.0176,0.0481,0.0068,0.0219,0.0335,0.0015,0.037,0.0511,X,0.0068,0.053,0.0474,0.0522,0.048
bot_9 (0.07 - 0.45),0.4112,0.7469,0.2292,0.3402,0.345,0.2992,0.5792,0.0,0.7271,X,0.0,0.0,0.0,0.0975
bot_10 (0.07 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0
bot_11 (0.07 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0
bot_12 (0.1 - 0.5),0.1117,0.1912,0.0,0.0509,0.0869,0.0001,0.1651,0.1843,0.1763,0.1886,0.1976,0.1884,X,0.1701
bot_13 (0.1 - 0.6),0.1149,0.2635,0.0,0.043,0.1339,0.0,0.1682,0.2509,0.2328,0.2308,0.2453,0.2474,0.2253,X
