,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.5022,0.3296,0.3936,0.2503,0.081,0.3793,0.3979,0.245,0.4988,0.3483,0.3364,0.4217,0.2908
bot_1 (0.01 - 0.5),0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_2 (0.01 - 0.6),0.6701,1.0,X,0.8236,0.416,0.1766,0.6706,0.8084,0.4177,0.9999,0.5841,0.6832,0.6253,0.5841
bot_3 (0.03 - 0.45),0.2864,0.3644,0.1764,X,0.1824,0.0776,0.2334,0.2423,0.1486,0.3789,0.2851,0.2409,0.2125,0.1868
bot_4 (0.03 - 0.55),0.6654,0.755,0.5838,0.6583,X,0.2946,0.5843,0.6736,0.4568,0.7444,0.5611,0.5828,0.6664,0.4945
bot_5 (0.03 - 0.65),0.919,1.0,0.8234,0.9224,0.7054,X,0.8473,0.9288,0.7113,1.0,0.7539,0.8499,0.917,0.7396
bot_6 (0.05 - 0.45),0.3679,0.5022,0.3293,0.4208,0.2912,0.1527,X,0.4231,0.2484,0.4978,0.3851,0.3475,0.3749,0.2821
bot_7 (0.05 - 0.55),0.3105,0.5012,0.1915,0.3868,0.1909,0.0712,0.2964,X,0.1256,0.5071,0.3769,0.3204,0.2254,0.2193
bot_8 (0.05 - 0.65),0.755,1.0,0.5823,0.8514,0.5432,0.2887,0.7516,0.8744,X,0.9999,0.6146,0.743,0.667,0.6227
bot_9 (0.07 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
bot_10 (0.07 - 0.55),0.3331,0.0,0.4159,0.1886,0.2591,0.2461,0.2297,0.2524,0.3854,0.0,X,0.2866,0.4593,0.2681
bot_11 (0.07 - 0.65),0.3912,0.4288,0.3168,0.3637,0.2533,0.1501,0.3514,0.3759,0.257,0.4264,0.3861,X,0.3513,0.2864
bot_12 (0.1 - 0.5),0.5783,1.0,0.3747,0.7875,0.3336,0.083,0.6251,0.7746,0.333,1.0,0.5407,0.6487,X,0.5386
bot_13 (0.1 - 0.6),0.4522,0.4988,0.4156,0.4416,0.3371,0.2604,0.4412,0.4345,0.3773,0.5067,0.4145,0.4203,0.4614,X
