,bot_0 (0.01 - 0.4),bot_1 (0.01 - 0.5),bot_2 (0.01 - 0.6),bot_3 (0.03 - 0.45),bot_4 (0.03 - 0.55),bot_5 (0.03 - 0.65),bot_6 (0.05 - 0.45),bot_7 (0.05 - 0.55),bot_8 (0.05 - 0.65),bot_9 (0.07 - 0.45),bot_10 (0.07 - 0.55),bot_11 (0.07 - 0.65),bot_12 (0.1 - 0.5),bot_13 (0.1 - 0.6)
bot_0 (0.01 - 0.4),X,0.3531,0.5007,0.445,0.3323,0.2386,0.423,0.4999,0.5115,0.4968,0.4964,0.4958,0.4817,0.5009
bot_1 (0.01 - 0.5),0.3501,X,0.3724,0.3661,0.3613,0.3208,0.3411,0.368,0.3633,0.3679,0.3715,0.3845,0.3954,0.3786
bot_2 (0.01 - 0.6),0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bot_3 (0.03 - 0.45),0.229,0.2087,0.2561,X,0.2065,0.1634,0.2455,0.2457,0.2492,0.2411,0.2558,0.2503,0.2522,0.2519
bot_4 (0.03 - 0.55),0.4371,0.4343,0.5574,0.5012,X,0.2855,0.4908,0.5666,0.5674,0.5584,0.5163,0.5576,0.4949,0.5657
bot_5 (0.03 - 0.65),0.7031,0.637,0.9178,0.7739,0.6922,X,0.7548,0.9165,0.9242,0.923,0.8738,0.914,0.8872,0.916
bot_6 (0.05 - 0.45),0.2247,0.2084,0.2489,0.2266,0.1976,0.184,X,0.2487,0.2478,0.2446,0.2435,0.2507,0.2442,0.2523
bot_7 (0.05 - 0.55),0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0,0.0
bot_8 (0.05 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0,0.0
bot_9 (0.07 - 0.45),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0,0.0,0.0
bot_10 (0.07 - 0.55),0.1093,0.1042,0.2107,0.1534,0.1017,0.0543,0.1341,0.2094,0.2068,0.2101,X,0.2075,0.1794,0.2134
bot_11 (0.07 - 0.65),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X,0.0,0.0
bot_12 (0.1 - 0.5),0.4711,0.5227,0.7977,0.6414,0.4598,0.1047,0.6391,0.7986,0.7965,0.7975,0.6631,0.7962,X,0.799
bot_13 (0.1 - 0.6),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,X
